chord_root_tpc	chord_root_midi	chord_type	chord_inversion	key_tonic_tpc	key_tonic_midi	key_mode	duration
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/24
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/48
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/48
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/24
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
2	2	ChordType.MAJ_MIN7	3	1	7	KeyMode.MAJOR	1/8
2	2	ChordType.MAJ_MIN7	3	1	7	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
-2	10	ChordType.MAJOR	0	-1	5	KeyMode.MAJOR	1/8
0	0	ChordType.MAJ_MIN7	3	-1	5	KeyMode.MAJOR	1/8
0	0	ChordType.MAJ_MIN7	3	-1	5	KeyMode.MAJOR	1/8
-1	5	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/8
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/8
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MINOR	0	0	0	KeyMode.MAJOR	1/4
0	0	ChordType.MINOR	0	0	0	KeyMode.MAJOR	1/4
0	0	ChordType.MINOR	0	0	0	KeyMode.MAJOR	1/4
0	0	ChordType.MINOR	0	0	0	KeyMode.MAJOR	1/4
-4	8	ChordType.MAJOR	0	-5	1	KeyMode.MAJOR	1
-5	1	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/4
-5	1	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/4
-5	1	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/4
-5	1	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/4
-2	10	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1
-3	3	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	2	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	2	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	2	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	2	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
2	2	ChordType.DIMINISHED	1	-3	3	KeyMode.MAJOR	1/16
2	2	ChordType.DIMINISHED	1	-3	3	KeyMode.MAJOR	1/16
2	2	ChordType.DIMINISHED	1	-3	3	KeyMode.MAJOR	1/16
2	2	ChordType.DIMINISHED	1	-3	3	KeyMode.MAJOR	1/16
5	11	ChordType.DIM7	3	0	0	KeyMode.MAJOR	1/16
5	11	ChordType.DIM7	3	0	0	KeyMode.MAJOR	1/16
5	11	ChordType.DIM7	3	0	0	KeyMode.MAJOR	1/16
5	11	ChordType.DIM7	3	0	0	KeyMode.MAJOR	1/16
6	6	ChordType.DIM7	1	1	7	KeyMode.MAJOR	1/16
6	6	ChordType.DIM7	1	1	7	KeyMode.MAJOR	1/16
6	6	ChordType.DIM7	1	1	7	KeyMode.MAJOR	1/16
6	6	ChordType.DIM7	1	1	7	KeyMode.MAJOR	1/16
6	6	ChordType.DIM7	0	1	7	KeyMode.MAJOR	1/16
6	6	ChordType.DIM7	0	1	7	KeyMode.MAJOR	1/16
6	6	ChordType.DIM7	0	1	7	KeyMode.MAJOR	1/16
6	6	ChordType.DIM7	0	1	7	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MAJOR	1/16
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MAJOR	1/16
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MAJOR	1/16
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/8
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	0	0	0	KeyMode.MAJOR	1/16
2	2	ChordType.MAJ_MIN7	3	1	7	KeyMode.MAJOR	1/16
2	2	ChordType.MAJ_MIN7	3	1	7	KeyMode.MAJOR	1/16
2	2	ChordType.MAJ_MIN7	3	1	7	KeyMode.MAJOR	1/16
2	2	ChordType.MAJ_MIN7	3	1	7	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
1	7	ChordType.MAJOR	1	0	0	KeyMode.MAJOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
2	2	ChordType.MINOR	0	3	9	KeyMode.MINOR	1/16
4	4	ChordType.MAJ_MIN7	3	3	9	KeyMode.MINOR	1/16
4	4	ChordType.MAJ_MIN7	3	3	9	KeyMode.MINOR	1/16
4	4	ChordType.MAJ_MIN7	3	3	9	KeyMode.MINOR	1/16
4	4	ChordType.MAJ_MIN7	3	3	9	KeyMode.MINOR	1/16
3	9	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
3	9	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
3	9	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
3	9	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
3	9	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
3	9	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
3	9	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
3	9	ChordType.MINOR	1	0	0	KeyMode.MAJOR	1/16
